Date,AdjClose
2019-03-04,26.1034
2019-03-05,25.837
2019-03-06,26.0701
2019-03-07,25.7705
2019-03-08,25.837
2019-03-11,25.9369
2019-03-12,26.0368
2019-03-13,25.9702
2019-03-14,26.1034
2019-03-15,26.3032
2019-03-18,26.5362
2019-03-19,26.6028
2019-03-20,26.6028
2019-03-21,26.5362
2019-03-22,26.5695
2019-03-25,26.5695
2019-03-26,26.7693
2019-03-27,26.8359
2019-03-28,26.7693
2019-03-29,26.7693
2019-04-01,27.1023
2019-04-02,27.0024
2019-04-03,27.0357
2019-04-08,27.0357
2019-04-09,27.1023
2019-04-10,27.0024
2019-04-11,26.6694
2019-04-12,26.9691
2019-04-15,26.9358
2019-04-16,26.8359
2019-04-17,27.0357
2019-04-18,26.736
2019-04-19,26.9025
2019-04-22,26.6694
2019-04-23,26.7027
2019-04-24,27.0357
2019-04-25,26.8359
2019-04-26,26.9358
2019-04-29,27.2354
2019-04-30,27.1356
2019-05-02,27.5351
2019-05-03,27.6683
2019-05-06,27.1023
2019-05-07,26.9358
2019-05-08,26.8359
2019-05-09,26.736
2019-05-10,26.5695
2019-05-13,26.3698
2019-05-14,26.17
2019-05-15,26.0035
2019-05-16,25.837
2019-05-17,25.837
2019-05-20,26.0701
2019-05-21,26.2033
2019-05-22,25.9702
2019-05-23,25.6373
2019-05-24,25.604
2019-05-27,25.604
2019-05-28,25.8038
2019-05-29,25.7705
2019-05-30,25.7039
2019-05-31,26.3032
2019-06-03,26.2366
2019-06-04,25.837
2019-06-05,25.9369
2019-06-06,26.0035
2019-06-10,26.3032
2019-06-11,26.4364
2019-06-12,26.2033
2019-06-13,26.4031
2019-06-14,26.4364
2019-06-17,26.17
2019-06-18,26.5695
2019-06-19,27.0357
2019-06-20,26.9025
2019-06-21,26.7693
2019-06-24,26.8026
2019-06-25,26.6028
2019-06-26,26.9025
2019-06-27,26.9358
2019-06-28,26.8692
2019-07-01,26.9025
2019-07-02,27.1023
2019-07-03,27.2354
2019-07-04,27.3353
2019-07-05,27.4352
2019-07-08,27.3353
2019-07-09,27.2022
2019-07-10,27.4685
2019-07-11,27.6017
2019-07-12,27.5684
2019-07-15,27.635
2019-07-16,27.635
2019-07-17,27.5018
2019-07-18,27.5018
2019-07-19,27.635
2019-07-22,27.5018
2019-07-23,27.635
2019-07-24,27.4019
2019-07-25,27.5684
2019-07-26,27.4352
2019-07-29,27.635
2019-07-30,27.635
2019-07-31,27.4352
