Date,Close,granularity
2011-10-06,29.55,daily
2011-10-07,29.5,daily
2011-10-11,29.0,daily
2011-10-12,29.25,daily
2011-10-13,30.55,daily
2011-10-14,30.55,daily
2011-10-17,31.7,daily
2011-10-18,30.95,daily
2011-10-19,30.85,daily
2011-10-20,30.1,daily
2011-10-21,30.7,daily
2011-10-24,31.9,daily
2011-10-25,31.65,daily
2011-10-26,32.2,daily
2011-10-27,30.55,daily
2011-10-28,30.45,daily
2011-10-31,30.9,daily
2011-11-01,31.25,daily
2011-11-02,31.0,daily
2011-11-03,29.9,daily
2011-11-04,31.0,daily
2011-11-07,30.05,daily
2011-11-08,30.15,daily
2011-11-09,29.5,daily
2011-11-10,28.55,daily
2011-11-11,28.4,daily
2011-11-14,29.3,daily
2011-11-15,28.8,daily
2011-11-16,28.35,daily
2011-11-17,28.6,daily
2011-11-18,27.7,daily
2011-11-21,27.2,daily
2011-11-22,27.0,daily
2011-11-23,26.1,daily
2011-11-24,26.1,daily
2011-11-25,26.15,daily
2011-11-28,26.6,daily
2011-11-29,27.1,daily
2011-11-30,27.8,daily
2011-12-01,28.95,daily
2011-12-02,28.15,daily
2011-12-05,28.15,daily
2011-12-06,27.0,daily
2011-12-07,27.0,daily
2011-12-08,26.35,daily
2011-12-09,26.0,daily
2011-12-12,26.4,daily
2011-12-13,26.3,daily
2011-12-14,26.4,daily
2011-12-15,25.75,daily
2011-12-16,25.4,daily
2011-12-19,24.9,daily
2011-12-20,24.6,daily
2011-12-21,26.3,daily
2011-12-22,26.2,daily
2011-12-23,26.85,daily
2011-12-26,27.05,daily
2011-12-27,27.3,daily
2011-12-28,27.15,daily
2011-12-29,27.15,daily
2011-12-30,27.1,daily
2012-01-02,26.8,daily
2012-01-03,27.2,daily
2012-01-04,28.1,daily
2012-01-05,28.75,daily
2012-01-06,29.1,daily
2012-01-09,29.35,daily
2012-01-10,29.75,daily
2012-01-11,29.75,daily
2012-01-12,29.9,daily
2012-01-13,30.0,daily
2012-01-16,28.65,daily
2012-01-17,30.65,daily
2012-01-18,30.65,daily
2012-01-30,32.75,daily
2012-01-31,34.0,daily
2012-02-01,33.85,daily
2012-02-02,32.95,daily
2012-02-03,32.3,daily
2012-02-04,32.35,daily
2012-02-06,31.7,daily
2012-02-07,31.85,daily
2012-02-08,32.5,daily
2012-02-09,33.1,daily
2012-02-10,33.0,daily
2012-02-13,33.3,daily
2012-02-14,34.2,daily
2012-02-15,35.0,daily
2012-02-16,34.0,daily
2012-02-17,34.6,daily
2012-02-20,34.6,daily
2012-02-21,33.45,daily
2012-02-22,34.05,daily
2012-02-23,33.8,daily
2012-02-24,34.0,daily
2012-02-29,34.65,daily
2012-03-01,34.55,daily
2012-03-02,34.2,daily
2012-03-03,33.35,daily
2012-03-05,33.35,daily
2012-03-06,32.55,daily
2012-03-07,32.75,daily
2012-03-08,33.65,daily
2012-03-09,34.15,daily
2012-03-12,34.5,daily
2012-03-13,34.5,daily
2012-03-14,35.1,daily
2012-03-15,35.5,daily
2012-03-16,34.8,daily
2012-03-19,35.15,daily
2012-03-20,34.8,daily
2012-03-21,33.85,daily
2012-03-22,34.8,daily
2012-03-23,34.5,daily
2012-03-26,34.15,daily
2012-03-27,35.1,daily
2012-03-28,35.35,daily
2012-03-29,35.65,daily
2012-03-30,35.8,daily
2012-04-02,35.0,daily
2012-04-03,36.5,daily
2012-04-05,34.85,daily
2012-04-06,35.3,daily
2012-04-09,34.65,daily
2012-04-10,34.8,daily
2012-04-11,34.65,daily
2012-04-12,34.55,daily
2012-04-13,35.45,daily
2012-04-16,34.8,daily
2012-04-17,34.4,daily
2012-04-18,34.9,daily
2012-04-19,34.5,daily
2012-04-20,33.8,daily
2012-04-23,33.45,daily
2012-04-24,33.2,daily
2012-04-25,34.7,daily
2012-04-26,33.7,daily
2012-04-27,34.2,daily
2012-04-30,34.65,daily
2012-05-02,35.75,daily
2012-05-03,34.85,daily
2012-05-04,34.5,daily
2012-05-07,33.85,daily
2012-05-08,34.3,daily
2012-05-09,33.3,daily
2012-05-10,33.5,daily
2012-05-11,33.7,daily
2012-05-14,33.7,daily
2012-05-15,33.25,daily
2012-05-16,31.8,daily
2012-05-17,31.9,daily
2012-05-18,31.15,daily
2012-05-21,31.15,daily
2012-05-22,31.4,daily
2012-05-23,30.8,daily
2012-05-24,30.1,daily
2012-05-25,29.1,daily
2012-05-28,30.05,daily
